Okres;"Podporujeme?
(Ano/Ne)";Příjmení;Jméno;Tituly;"Datum
narození";Povolání;Nominace;Podpora;Hlídač státu;FB;Insta;Web;Média 1;Média 2;Podepsána Deklarace?;Kontakt pro dobrovolníky
54 – Znojmo;ANO;Třetina;Tomáš;Mgr.;1972;senátor, pedagog, starosta;TOP09;lidovci, STAN, Piráti, ODS;https://www.hlidacstatu.cz/osoba/tomas-tretina;https://www.facebook.com/starosta.tretina;@tomastretina;https://tomastretina.cz/;https://ct24.ceskatelevize.cz/video/starosta-moravskeho-krumlova-tomas-tretina-top-09-o-jednani-s-prahou-122955;https://www.top09.cz/volby/2026-senat/mgr-tomas-tretina-32954.html;čekáme;
57 – Vyškov;NE;Absolonová;Petra;;;vrchní sestra;ANO;;;;;;;;;
57 – Vyškov;NE;Fládr;Jaroslav;;;;Přísaha;;;;;;;;;
57 – Vyškov;ANO;Grolich;Jan;Mgr.;1984;hejtman, politik, advokát;lidovci;STAN, Piráti, ODS, TOP09;https://www.hlidacstatu.cz/osoba/jan-grolich-1;https://www.facebook.com/HejtmanJMK;@hejtmangrolich;https://jangrolich.cz/;https://ct24.ceskatelevize.cz/video/interview-ct24-hejtman-jihomoravskeho-kraje-jan-grolich-kdu-csl-230297;https://www.idnes.cz/zpravy/domaci/petr-pavel-prezident-jan-grolich-predseda-kducsl-prazsky-hrad-schuzka.A260720_132435_domaci_meli;čekáme;
57 – Vyškov;NE;Masařík;Jiří;;;;SPD;;;;;;;;;
60 – Brno-město;NE;Holcnerová;Veronika;;1984;datová inženýrka, aktivistka;Hnutí Kruh;;0;https://www.facebook.com/xanthu;@veronikaholcnerova;https://www.hnutikruh.cz/volby/kandidatky/veronika-holcnerova;https://www.irozhlas.cz/veda-technologie/priroda/macinka-holcnerova-klimaticti-aktiviste-pro-a-proti_2310242029_cen?_ga=2.206045203.1448051778.1785245735-1569960458.1785245727;https://ceskepodcasty.cz/podcast/lepsi-vedet/veronika-holcnerova-rozhovor;NE;
60 – Brno-město;ANO;Papoušek;Zdeněk ;PhDr.;1956;senátor, pedagog, sociolog, dramatik;ODS;lidovci, Piráti, Zelení, TOP09, Fakt Brno;https://www.hlidacstatu.cz/osoba/zdenek-papousek;https://www.facebook.com/zdenalvsenatu;@zdenal_v_senatu;https://www.zdenaldosenatu.cz/;https://www.youtube.com/watch?v=gG5NuUrdnsg;https://www.youtube.com/watch?v=gG5NuUrdnsg;čekáme;
60 – Brno-město;NE;Štěrba;Jaroslav;;;;ANO;;;;;;;;;
60 – Brno-město;NE;Turánek;Jaroslav;;;;SPD;;;;;;;;;
60 – Brno-město;ANO;Zitterbart;Karel;MUDr., PhD.;1978;senátor, onkolog, dětský lékař;STAN;;https://www.hlidacstatu.cz/osoba/karel-zitterbart;https://www.facebook.com/kareldosenatu/;@karelzitterbart;https://www.starostove.cz/persons/karel-zitterbart;https://vyskovsky.denik.cz/zpravy-region/hejtman-jan-grolich-jihomoravsky-kraj-senat-volby-2026-vyskov-karel-zitterbart/;https://www.ceskatelevize.cz/porady/1126672097-otazky-vaclava-moravce/224411030511208/cast/1084117/;čekáme;
63 – Přerov;NE;Chromec;Dan;;;;SPD;;;;;;;;;
63 – Přerov;ANO;Navařík;Jakub;Mgr., PhD.;1986;fyzik, manažer, učitel, zastupitel;ODS;lidovci, TOP09, STAN;https://www.hlidacstatu.cz/osoba/jakub-navarik;https://www.facebook.com/jakubnavarik;@jakubnavarik;https://www.jakubnavarik.cz/;https://www.zurnal.upol.cz/nc/zprava/clanek/letosni-vitez-souteze-podnikava-hlava-jakub-navarik-nejradeji-odpociva-aktivne/;https://cs.wikipedia.org/wiki/Jakub_Nava%C5%99%C3%ADk?utm_source=programydovoleb.cz;čekáme;
63 – Přerov;NE;Obrtel;Marek;;1966;lékař, záchranář;ČSNS (Česká strana národně sociální);;;;;;https://www.idnes.cz/zpravy/domaci/obrtel-se-vzdava-vyznamenani-na-protest-proti-nato.A141229_122209_domaci_zt;; ;
63 – Přerov;NE;Vrána;Petr;;;;ANO;;;;;;;;;
66 – Litovel;NE;Jelínek;Pavel;;;;SPD;;;;;;;;;
66 – Litovel;ANO;Kohajda;Michael;doc. JUDr., PhD.;1981;politik, právník, učitel;lidovci;;https://www.hlidacstatu.cz/osoba/michael-kohajda;https://www.facebook.com/michaelkohajda;@michael.kohajda;https://kohajdadosenatu.cz/;https://www.zurnal.upol.cz/nc/zprava/clanek/rektor-michael-kohajda-musime-hledat-nove-cesty-abychom-obstali-v-menicim-se-svete/;https://ct24.ceskatelevize.cz/video/mistopredseda-kdu-csl-michael-kohajda-ke-statnimu-rozpoctu-229464;čekáme;
66 – Litovel;ANO;Ošťádal;Marek;;1973;senátor, grafik, hudebník;nezávislý? (minule STAN);;https://www.hlidacstatu.cz/osoba/marek-ostadal;https://www.facebook.com/MOstadal;@m_ostadal;https://www.marekostadal.cz/;https://olomouc.rozhlas.cz/marek-ostadal-hanacke-patriot-6393684;https://ct24.ceskatelevize.cz/clanek/domaci/senatorem-za-olomouc-bude-marek-ostadal-ze-stan-44011;ANO;nechtějí
66 – Litovel;NE;Škurek;Martin;JUDr., PhD.;1984;právník, politik, pedagog;ANO;;;;;;;;;
69 – Frýdek-Místek;ANO;Korč;Petr;Bc.;1976;primátor, politik, podnikatel;NMFM (Naše město F-M);;https://www.hlidacstatu.cz/osoba/petr-korc-1;https://www.facebook.com/petrkorcnasemesto/;@petr_korc_lidr_naseho_mesta;https://www.petrkorc.cz/;https://ct24.ceskatelevize.cz/clanek/regiony/zastupitele-frydku-mistku-odvolali-primatora-korce-374415;https://www.facebook.com/reel/865887656037880;;
69 – Frýdek-Místek;NEVÍM;Navrátil;Zdeněk;;1964;;rEvoluce;;;https://www.facebook.com/zdenek.navratil.12;@z.navratil;;https://www.idnes.cz/ostrava/zpravy/rozhovor-zdenek-navratil-hala-basketbal-mirai.A200212_532643_ostrava-zpravy_woj;https://fm.denik.cz/zpravy-region/rozhovor-zdenek-navratil-o-sportu-politicich-i-vychove-synu/; ;
69 – Frýdek-Místek;ANO;Pešatová;Helena;RNDr.;1959;senátorka, starostka;STAN;TOP09, Piráti;https://www.hlidacstatu.cz/osoba/helena-pesatova-1;https://www.facebook.com/helenapesatova.senatorka;@senatorka.helena.pesatova;https://helenapesatova.cz/;https://polar.cz/zpravy/frydeckomistecko/frydlant-nad-ostravici/11000054488/helena-pesatova-pro-frydlant;https://cs.wikipedia.org/wiki/Helena_Pe%C5%A1atov%C3%A1?utm_source=programydovoleb.cz;čekáme;
69 – Frýdek-Místek;NE;Šimoňáková;Šárka ;Ing.;1983;politička, finanční analytička;ANO;;;;;;;;;
72 – Ostrava-město;NE;Baránková;Lucie ;Ing., PhD.;1984;politička;ANO;;;;;;;;;
72 – Ostrava-město;ANO;Šimetka;Ondřej ;doc. MUDr., Ph.D. MBA;1970;lékař, senátor;ODS;STAN, Piráti, lidovci, TOP90;https://www.hlidacstatu.cz/osoba/ondrej-simetka;https://www.facebook.com/senatorsimetka;@senator_ondrej_simetka;https://ondrejsimetka.cz/;https://www.ceskatelevize.cz/porady/10095426857-interview-ct24/220411058041209/;https://www.irozhlas.cz/zivotni-styl/zdravi/regulace-domacich-porodu-je-nutne-vyjit-z-sede-zony-shoduji-se-lekar-a-porodni_2409052340_kvr?_ga=2.135447281.1767448195.1785317115-799172537.1785317115;čekáme;
75 – Karviná;NE;Brzyskowská;Lenka ;;1976;politička, podnikatelka;ANO;;;;;;;;;
75 – Karviná;NE;Galia;Roman;Mgr. Bc.;1974;místostarosta;SOCDEM;;;;;;;;;
75 – Karviná;ANO;Kazík;Petr;Ing., PhD.;1964;pedagog, ředitel divadla, podnikatel;OK (Osobnosti pro Karvinsko);;https://www.hlidacstatu.cz/osoba/petr-kazik;https://www.facebook.com/petr.kazik.1ttttttrtttyd;@kazikpetr;https://www.petrkazik.cz/;https://www.idnes.cz/ostrava/zpravy/kazik-slezske-divadlo-opava-komanek-reditel.A230930_010700_ostrava-zpravy_jog;https://polar.cz/zpravy/moravskoslezsky-kraj/cely-ms-kraj/11000056020/petr-kazik;ANO;
75 – Karviná;ANO;Černá;Aleš;MUDr.;1978;zubní lékař;ODS;Soukromníci (S);0;https://www.facebook.com/profile.php?id=61572227859791;@ales_polach;https://polachdosenatu.cz/;https://www.facebook.com/watch/?v=1730614754950041; ;;
75 – Karviná;ANO;Plevný;Mariam ;MUDr.;1981;zubní lékařka, zastupitelka;Piráti;STAN, Zelení, TOP09, SEN21 ;https://www.hlidacstatu.cz/osoba/mariam-szyja;https://www.facebook.com/mariam.szyja;@mariam_szyja;https://mariamszyja.cz/;https://moravskoslezsky.pirati.cz/aktuality/zubarka-z-karvine-miri-do-senatu-stat-by-nemel-lidem-urcovat-jak-maji-zit-rika-mariam-szyja/; ; ;
78 – Zlín;ANO;Dlouhý;Pavel ;Mgr., MBA;;ředitel ZŠ, pedagog;SEN21;;;https://www.facebook.com/profile.php?id=61574362502198#;@pavel.dlouhy.senat;;;;;
78 – Zlín;NE;Doleček;Jan ;;;vydavatel;KSČM;;;;;;;;;
78 – Zlín;ANO;Steiner;Tomáš ;Ing.;1968;senátor, zastupitel, ekonom, daňový poradce;ODS;TOP09, lidovci;https://www.hlidacstatu.cz/osoba/tomas-golan-3;https://www.facebook.com/golan.tomas;@tomasgolansenator;https://www.tomasgolan.cz/;https://www.irozhlas.cz/zpravy-domov/dalsi-plany-martina-kuby-a-kupky-ods-se-mela-zacit-divat-co-chteji-volici-mini_2512011939_med?_ga=2.28015418.703328116.1785320471-707705128.1785320471;https://ct24.ceskatelevize.cz/clanek/domaci/golan-a-mrackova-vildumetzova-debatovali-o-novele-o-verejnych-rozpoctech-374692; ;
78 – Zlín;ANO;Trešl;Ivo;PhDr. Mgr.;1972;politik, odborník na krizovou komunikaci, tiskový mluvčí, zastupitel;STAN;;https://www.hlidacstatu.cz/osoba/ivo-mitacek-1;https://www.facebook.com/ivo.mitacek/;@ivo.mitacek;https://www.ivomitacek.cz/;https://www.metro.cz/kraje/zlinsky-kraj/ivo-mitacek-bude-kandidovat-do-senatu-ve-zlinskem-obvodu-s-podporou-stan.A260618_183138_metro-zlin-zpravy_air?utm_source=programydovoleb.cz;https://ct24.ceskatelevize.cz/clanek/media/mluvcim-roku-ivo-mitacek-cenu-ziskala-i-ct24-267957;čekáme;
78 – Zlín;NE;Navrátilová;Andrea ;;;právnička;PRO (Pro Právo Respekt Odbornost);;;;;;;;;
78 – Zlín;NE;Sedlařík;Vladimír;prof. Ing., Ph.D.;1980;chemik, pedagog;ANO;;;;;;;;;
81 – Uherské Hradiště;NE;Balaštíková;Margit ;;;;nezávislá;;;;;;;;;
81 – Uherské Hradiště;ANO;Janský;Josef;0;1960;senátor, starosta, folklorista;lidovci;STAN, TOP09;https://www.hlidacstatu.cz/osoba/josef-bazala;https://www.facebook.com/BazalaJosef;0;https://www.bazaladosenatu.cz/;https://www.youtube.com/watch?v=cNnTh4YQVUg;https://ct24.ceskatelevize.cz/video/starosta-stareho-mesta-josef-bazala-kdu-csl-o-kaceni-mladych-stromu-135592; ;
81 – Uherské Hradiště;NE;Vašica;Jiří ;DiS.;;zastupitel, záchranář;ANO;;;;;;;;;
